sample_id,model,prompt_strategy,true_cEXT,true_cNEU,true_cAGR,true_cCON,true_cOPN,pred_cEXT,pred_cNEU,pred_cAGR,pred_cCON,pred_cOPN
0,gpt-4.1-mini,few_shot,n,y,n,n,y,y,y,n,n,y
1,gpt-4.1-mini,few_shot,n,n,n,n,n,y,n,n,n,y
2,gpt-4.1-mini,few_shot,n,n,y,n,n,y,n,y,n,y
3,gpt-4.1-mini,few_shot,n,y,y,n,y,y,n,y,n,y
4,gpt-4.1-mini,few_shot,y,y,n,y,y,y,y,y,n,y
5,gpt-4.1-mini,few_shot,n,y,y,n,y,y,n,n,n,y
6,gpt-4.1-mini,few_shot,n,y,n,y,y,n,y,y,n,y
7,gpt-4.1-mini,few_shot,n,n,y,y,y,y,n,y,y,y
8,gpt-4.1-mini,few_shot,n,y,n,n,y,y,y,y,n,y
9,gpt-4.1-mini,few_shot,n,n,y,y,n,y,y,y,n,y
10,gpt-4.1-mini,few_shot,y,y,y,n,y,y,n,y,n,y
11,gpt-4.1-mini,few_shot,n,n,y,n,y,y,y,y,n,y
12,gpt-4.1-mini,few_shot,n,y,y,n,y,y,n,n,n,y
13,gpt-4.1-mini,few_shot,y,n,y,n,y,y,n,n,n,y
14,gpt-4.1-mini,few_shot,n,y,y,n,y,y,y,y,n,y
15,gpt-4.1-mini,few_shot,n,y,y,n,y,y,y,y,n,y
16,gpt-4.1-mini,few_shot,y,y,y,n,y,y,y,y,n,y
17,gpt-4.1-mini,few_shot,n,n,y,y,y,y,n,y,n,y
18,gpt-4.1-mini,few_shot,y,n,n,y,y,y,n,y,n,y
19,gpt-4.1-mini,few_shot,n,n,n,y,y,y,n,y,n,y
20,gpt-4.1-mini,few_shot,y,n,n,n,y,y,y,y,n,y
21,gpt-4.1-mini,few_shot,n,y,n,y,n,y,y,y,n,y
22,gpt-4.1-mini,few_shot,n,n,n,y,n,y,n,y,n,y
23,gpt-4.1-mini,few_shot,n,y,n,y,y,y,y,n,n,y
24,gpt-4.1-mini,few_shot,y,n,y,y,y,y,n,y,n,y
25,gpt-4.1-mini,few_shot,y,n,y,y,n,y,n,y,n,y
26,gpt-4.1-mini,few_shot,n,n,y,n,y,y,n,y,n,y
27,gpt-4.1-mini,few_shot,n,n,y,n,n,y,y,n,n,y
28,gpt-4.1-mini,few_shot,n,n,n,y,y,y,y,y,n,y
29,gpt-4.1-mini,few_shot,n,n,y,y,y,y,n,y,y,y
30,gpt-4.1-mini,few_shot,y,n,y,n,y,y,y,y,n,y
31,gpt-4.1-mini,few_shot,y,y,n,n,y,y,y,y,n,y
32,gpt-4.1-mini,few_shot,n,y,n,n,y,y,n,y,n,y
33,gpt-4.1-mini,few_shot,y,n,y,y,y,y,n,y,n,y
34,gpt-4.1-mini,few_shot,n,y,y,n,y,n,y,n,n,y
35,gpt-4.1-mini,few_shot,n,y,y,n,y,y,n,y,n,y
36,gpt-4.1-mini,few_shot,n,n,y,y,y,y,n,y,y,y
37,gpt-4.1-mini,few_shot,y,n,y,y,y,y,n,y,n,y
38,gpt-4.1-mini,few_shot,y,n,y,n,n,y,y,y,n,y
39,gpt-4.1-mini,few_shot,y,n,n,y,y,y,y,n,n,y
40,gpt-4.1-mini,few_shot,n,y,n,n,y,n,y,n,n,y
41,gpt-4.1-mini,few_shot,n,y,n,y,n,y,y,y,y,y
42,gpt-4.1-mini,few_shot,n,n,n,y,y,y,y,n,n,y
43,gpt-4.1-mini,few_shot,n,y,y,y,y,y,n,y,n,y
44,gpt-4.1-mini,few_shot,n,n,n,n,y,y,n,n,n,y
