sample_id,model,prompt_strategy,true_cEXT,true_cNEU,true_cAGR,true_cCON,true_cOPN,pred_cEXT,pred_cNEU,pred_cAGR,pred_cCON,pred_cOPN
0,mistral-small-3.1-24b,zero_shot,n,y,n,n,y,y,n,y,n,y
1,mistral-small-3.1-24b,zero_shot,n,n,n,n,n,y,n,y,n,y
2,mistral-small-3.1-24b,zero_shot,n,n,y,n,n,y,n,y,n,y
3,mistral-small-3.1-24b,zero_shot,n,y,y,n,y,y,n,y,n,y
4,mistral-small-3.1-24b,zero_shot,y,y,n,y,y,y,n,y,n,y
5,mistral-small-3.1-24b,zero_shot,n,y,y,n,y,y,n,y,n,y
6,mistral-small-3.1-24b,zero_shot,n,y,n,y,y,n,y,y,n,y
7,mistral-small-3.1-24b,zero_shot,n,n,y,y,y,y,n,y,n,y
8,mistral-small-3.1-24b,zero_shot,n,y,n,n,y,y,n,y,n,y
9,mistral-small-3.1-24b,zero_shot,n,n,y,y,n,y,n,y,n,y
10,mistral-small-3.1-24b,zero_shot,y,y,y,n,y,y,n,y,n,y
11,mistral-small-3.1-24b,zero_shot,n,n,y,n,y,n,y,y,n,y
12,mistral-small-3.1-24b,zero_shot,n,y,y,n,y,y,n,y,n,y
13,mistral-small-3.1-24b,zero_shot,y,n,y,n,y,y,n,y,n,y
14,mistral-small-3.1-24b,zero_shot,n,y,y,n,y,y,n,y,n,y
15,mistral-small-3.1-24b,zero_shot,n,y,y,n,y,y,n,y,n,y
16,mistral-small-3.1-24b,zero_shot,y,y,y,n,y,y,y,y,n,y
17,mistral-small-3.1-24b,zero_shot,n,n,y,y,y,y,n,y,n,y
18,mistral-small-3.1-24b,zero_shot,y,n,n,y,y,y,n,y,n,y
19,mistral-small-3.1-24b,zero_shot,n,n,n,y,y,y,n,y,n,y
20,mistral-small-3.1-24b,zero_shot,y,n,n,n,y,y,n,y,n,y
21,mistral-small-3.1-24b,zero_shot,n,y,n,y,n,y,n,y,n,y
22,mistral-small-3.1-24b,zero_shot,n,n,n,y,n,y,n,y,n,y
23,mistral-small-3.1-24b,zero_shot,n,y,n,y,y,y,n,y,n,y
24,mistral-small-3.1-24b,zero_shot,y,n,y,y,y,y,n,y,n,y
25,mistral-small-3.1-24b,zero_shot,y,n,y,y,n,y,n,y,n,y
26,mistral-small-3.1-24b,zero_shot,n,n,y,n,y,y,n,y,n,y
27,mistral-small-3.1-24b,zero_shot,n,n,y,n,n,n,y,y,n,y
28,mistral-small-3.1-24b,zero_shot,n,n,n,y,y,n,y,y,n,y
29,mistral-small-3.1-24b,zero_shot,n,n,y,y,y,y,y,y,n,y
30,mistral-small-3.1-24b,zero_shot,y,n,y,n,y,y,n,y,n,y
31,mistral-small-3.1-24b,zero_shot,y,y,n,n,y,y,n,y,n,y
32,mistral-small-3.1-24b,zero_shot,n,y,n,n,y,y,n,y,n,y
33,mistral-small-3.1-24b,zero_shot,y,n,y,y,y,y,n,y,n,y
34,mistral-small-3.1-24b,zero_shot,n,y,y,n,y,y,n,y,n,y
35,mistral-small-3.1-24b,zero_shot,n,y,y,n,y,y,n,y,n,y
36,mistral-small-3.1-24b,zero_shot,n,n,y,y,y,y,n,y,n,y
37,mistral-small-3.1-24b,zero_shot,y,n,y,y,y,y,n,y,n,y
38,mistral-small-3.1-24b,zero_shot,y,n,y,n,n,y,y,y,n,y
39,mistral-small-3.1-24b,zero_shot,y,n,n,y,y,y,y,n,n,y
40,mistral-small-3.1-24b,zero_shot,n,y,n,n,y,n,y,n,n,y
41,mistral-small-3.1-24b,zero_shot,n,y,n,y,n,y,y,y,n,y
42,mistral-small-3.1-24b,zero_shot,n,n,n,y,y,y,y,y,n,y
43,mistral-small-3.1-24b,zero_shot,n,y,y,y,y,y,y,y,n,y
44,mistral-small-3.1-24b,zero_shot,n,n,n,n,y,y,y,y,n,y
