sample_id,model,prompt_strategy,true_cEXT,true_cNEU,true_cAGR,true_cCON,true_cOPN,pred_cEXT,pred_cNEU,pred_cAGR,pred_cCON,pred_cOPN
0,qwen-2.5-7b,zero_shot,n,y,n,n,y,y,n,y,n,y
1,qwen-2.5-7b,zero_shot,n,n,n,n,n,y,n,y,n,y
2,qwen-2.5-7b,zero_shot,n,n,y,n,n,y,n,y,n,y
3,qwen-2.5-7b,zero_shot,n,y,y,n,y,y,n,y,n,y
4,qwen-2.5-7b,zero_shot,y,y,n,y,y,y,n,y,n,y
5,qwen-2.5-7b,zero_shot,n,y,y,n,y,y,n,n,n,y
6,qwen-2.5-7b,zero_shot,n,y,n,y,y,y,n,y,n,y
7,qwen-2.5-7b,zero_shot,n,n,y,y,y,y,n,y,n,y
8,qwen-2.5-7b,zero_shot,n,y,n,n,y,y,n,y,n,y
9,qwen-2.5-7b,zero_shot,n,n,y,y,n,y,n,y,n,y
10,qwen-2.5-7b,zero_shot,y,y,y,n,y,y,n,y,n,y
11,qwen-2.5-7b,zero_shot,n,n,y,n,y,y,n,y,n,y
12,qwen-2.5-7b,zero_shot,n,y,y,n,y,y,n,y,n,y
13,qwen-2.5-7b,zero_shot,y,n,y,n,y,y,n,y,n,y
14,qwen-2.5-7b,zero_shot,n,y,y,n,y,y,n,y,n,y
15,qwen-2.5-7b,zero_shot,n,y,y,n,y,y,n,y,n,y
16,qwen-2.5-7b,zero_shot,y,y,y,n,y,y,n,y,n,y
17,qwen-2.5-7b,zero_shot,n,n,y,y,y,y,n,y,n,y
18,qwen-2.5-7b,zero_shot,y,n,n,y,y,y,n,y,n,y
19,qwen-2.5-7b,zero_shot,n,n,n,y,y,y,n,y,n,y
20,qwen-2.5-7b,zero_shot,y,n,n,n,y,y,n,y,n,y
21,qwen-2.5-7b,zero_shot,n,y,n,y,n,y,n,y,n,y
22,qwen-2.5-7b,zero_shot,n,n,n,y,n,y,n,y,n,y
23,qwen-2.5-7b,zero_shot,n,y,n,y,y,y,n,y,n,y
24,qwen-2.5-7b,zero_shot,y,n,y,y,y,y,n,y,n,y
25,qwen-2.5-7b,zero_shot,y,n,y,y,n,y,n,y,n,y
26,qwen-2.5-7b,zero_shot,n,n,y,n,y,y,n,y,n,y
27,qwen-2.5-7b,zero_shot,n,n,y,n,n,y,n,y,n,y
28,qwen-2.5-7b,zero_shot,n,n,n,y,y,y,n,y,n,y
29,qwen-2.5-7b,zero_shot,n,n,y,y,y,y,n,y,n,y
30,qwen-2.5-7b,zero_shot,y,n,y,n,y,y,n,y,n,y
31,qwen-2.5-7b,zero_shot,y,y,n,n,y,n,y,y,n,n
32,qwen-2.5-7b,zero_shot,n,y,n,n,y,y,n,y,n,y
33,qwen-2.5-7b,zero_shot,y,n,y,y,y,y,n,y,n,y
34,qwen-2.5-7b,zero_shot,n,y,y,n,y,y,n,y,n,y
35,qwen-2.5-7b,zero_shot,n,y,y,n,y,y,n,y,n,y
36,qwen-2.5-7b,zero_shot,n,n,y,y,y,y,n,y,n,y
37,qwen-2.5-7b,zero_shot,y,n,y,y,y,y,n,y,n,y
38,qwen-2.5-7b,zero_shot,y,n,y,n,n,y,n,y,n,y
39,qwen-2.5-7b,zero_shot,y,n,n,y,y,y,n,y,n,y
40,qwen-2.5-7b,zero_shot,n,y,n,n,y,y,n,y,n,y
41,qwen-2.5-7b,zero_shot,n,y,n,y,n,y,n,y,n,y
42,qwen-2.5-7b,zero_shot,n,n,n,y,y,y,n,y,n,y
43,qwen-2.5-7b,zero_shot,n,y,y,y,y,y,n,y,n,y
44,qwen-2.5-7b,zero_shot,n,n,n,n,y,y,n,y,n,y
