sample_id,true_type,pred_type,prompt_strategy,text_length
0,INFJ,INFP,zero_shot,593.0
1,ENTP,INTP,zero_shot,1263.0
2,INTP,INFJ,zero_shot,887.0
3,INTJ,INTJ,zero_shot,1159.0
4,ENTJ,INTJ,zero_shot,1040.0
5,INTJ,INTP,zero_shot,1587.0
6,INFJ,INFJ,zero_shot,1413.0
7,INTJ,INTP,zero_shot,1271.0
8,INFJ,INFJ,zero_shot,797.0
9,INTP,INFP,zero_shot,1315.0
10,INFJ,INFJ,zero_shot,1575.0
11,ENFJ,INFP,zero_shot,875.0
12,INFJ,INFJ,zero_shot,1352.0
13,INTJ,INTJ,zero_shot,1680.0
14,INTP,INTP,zero_shot,954.0
15,INTP,INTP,zero_shot,1327.0
16,INFJ,INFJ,zero_shot,1465.0
17,INFP,ENFP,zero_shot,1815.0
18,INFJ,INFJ,zero_shot,1617.0
19,INFP,INTP,zero_shot,1245.0
20,INTP,INTJ,zero_shot,1161.0
21,INFJ,INFJ,zero_shot,1189.0
22,ENTJ,INTP,zero_shot,1289.0
23,INFP,INFP,zero_shot,716.0
24,ENTJ,ENTJ,zero_shot,1164.0
25,INFP,INFP,zero_shot,1205.0
26,ENFP,INFJ,zero_shot,1864.0
27,ISFP,INFP,zero_shot,973.0
28,INFP,INFJ,zero_shot,1516.0
29,INFJ,INFJ,zero_shot,1618.0
30,INFP,INFP,zero_shot,1746.0
31,INFJ,INFP,zero_shot,1040.0
32,INTP,INTJ,zero_shot,1264.0
33,INFJ,INFP,zero_shot,1463.0
34,ENFJ,ENFP,zero_shot,1115.0
35,INFJ,INFJ,zero_shot,377.0
36,INTJ,INTJ,zero_shot,1559.0
37,INFP,INFJ,zero_shot,1564.0
38,ENFP,INFP,zero_shot,1498.0
39,ENTJ,ISTJ,zero_shot,1754.0
40,ISTP,INTJ,zero_shot,1660.0
41,INFJ,INFP,zero_shot,1535.0
42,INTP,INFP,zero_shot,1133.0
43,INFP,INFJ,zero_shot,1549.0
44,INTJ,ENTP,zero_shot,1053.0
45,INTP,INTJ,zero_shot,1667.0
46,ENTJ,INTJ,zero_shot,1632.0
47,INFP,INFJ,zero_shot,1646.0
48,ISFJ,INFJ,zero_shot,1771.0
49,INTJ,INTP,zero_shot,1141.0
50,INTP,INFP,zero_shot,1590.0
51,INFP,INFJ,zero_shot,1518.0
52,ISFJ,INFJ,zero_shot,1459.0
53,INTP,INTP,zero_shot,1539.0
54,INFP,INFP,zero_shot,1358.0
55,INFP,INFJ,zero_shot,1058.0
56,INFP,INFP,zero_shot,1423.0
57,ENFJ,INFJ,zero_shot,1350.0
58,INTP,INFP,zero_shot,1392.0
59,INTJ,INTP,zero_shot,1305.0
60,INFJ,INFJ,zero_shot,1180.0
61,INTP,INTP,zero_shot,1597.0
62,INFP,INFP,zero_shot,1100.0
63,INFP,ENTP,zero_shot,1704.0
64,ENTP,ENTP,zero_shot,468.0
65,INTP,INTP,zero_shot,1751.0
66,ISFP,INFP,zero_shot,1332.0
67,ENFJ,INFJ,zero_shot,1848.0
68,INFJ,INFJ,zero_shot,1504.0
69,ENFJ,INFJ,zero_shot,1273.0
70,INFJ,INFJ,zero_shot,1787.0
71,INFP,INFJ,zero_shot,1008.0
72,ENFP,INTP,zero_shot,1349.0
73,ISTP,INTP,zero_shot,1104.0
74,INFJ,INFJ,zero_shot,1461.0
75,INTP,INFJ,zero_shot,1179.0
76,INTJ,INTJ,zero_shot,1651.0
77,INTJ,INTJ,zero_shot,1221.0
78,INTJ,INTJ,zero_shot,1736.0
79,INFP,INFJ,zero_shot,1819.0
80,INFP,INTP,zero_shot,1013.0
81,INFJ,INFJ,zero_shot,1410.0
82,ENTP,INTP,zero_shot,1662.0
83,ENTJ,INTJ,zero_shot,1316.0
84,INFP,INFP,zero_shot,982.0
85,INTP,INTP,zero_shot,864.0
86,INFP,INFP,zero_shot,1412.0
87,ISFJ,INFJ,zero_shot,823.0
88,ISTJ,INTP,zero_shot,901.0
89,INTP,INTP,zero_shot,1586.0
90,ENTP,INTP,zero_shot,1432.0
91,INTP,INTJ,zero_shot,1602.0
92,ISFP,ENFP,zero_shot,1076.0
93,ENFJ,ENFP,zero_shot,520.0
94,INFJ,INFP,zero_shot,955.0
95,INFP,INFP,zero_shot,1554.0
96,INFJ,INTJ,zero_shot,1466.0
97,INTJ,ENTP,zero_shot,1190.0
98,INFJ,INFJ,zero_shot,1297.0
99,ENFP,ENFP,zero_shot,1319.0
100,INFP,INFP,zero_shot,1327.0
101,INFP,INFP,zero_shot,1176.0
102,ENFP,INFP,zero_shot,1081.0
103,INFJ,INFP,zero_shot,834.0
104,ISTP,INFP,zero_shot,1078.0
105,INFJ,INFJ,zero_shot,1529.0
106,ISTJ,INTJ,zero_shot,1260.0
107,ENFJ,INTJ,zero_shot,1587.0
108,INTP,INTP,zero_shot,786.0
109,INTJ,INTP,zero_shot,1273.0
110,ENTP,ENFP,zero_shot,1743.0
111,INFP,INFJ,zero_shot,1669.0
112,INFP,INFJ,zero_shot,1597.0
113,ESTP,ISTP,zero_shot,772.0
114,ISTP,ISTP,zero_shot,1394.0
115,ENFP,INFP,zero_shot,1411.0
116,ENTP,ENTP,zero_shot,1402.0
117,INTP,INTP,zero_shot,1698.0
118,INFJ,INFJ,zero_shot,1179.0
119,ENFP,ENFP,zero_shot,1135.0
120,ENTP,INFP,zero_shot,1695.0
121,INTP,INTP,zero_shot,484.0
122,INFJ,INFJ,zero_shot,1368.0
123,ISTP,ISTP,zero_shot,1130.0
124,INTP,INTP,zero_shot,996.0
125,INTJ,INTJ,zero_shot,1323.0
126,ENTP,INTP,zero_shot,993.0
127,INFJ,INTJ,zero_shot,1583.0
128,INFJ,INFJ,zero_shot,1184.0
129,INFJ,INTP,zero_shot,1405.0
130,ENTJ,INTJ,zero_shot,1102.0
131,ISFJ,INFJ,zero_shot,1718.0
132,INFP,INFP,zero_shot,1623.0
133,INFJ,INTP,zero_shot,1069.0
134,INTP,INTJ,zero_shot,1700.0
135,INFJ,INTJ,zero_shot,1221.0
136,INFP,INFP,zero_shot,1465.0
137,INTP,INFP,zero_shot,1493.0
138,INFP,INFJ,zero_shot,1281.0
139,ISFP,INFP,zero_shot,1410.0
140,INTP,INTP,zero_shot,1290.0
141,INFP,INTP,zero_shot,946.0
142,ENFP,INFP,zero_shot,924.0
143,ENFP,INFP,zero_shot,1363.0
144,ENTP,INTP,zero_shot,1534.0
145,INFJ,ENFP,zero_shot,1361.0
146,INFJ,INTJ,zero_shot,1133.0
147,ENTP,INTP,zero_shot,743.0
148,INFP,INFP,zero_shot,1509.0
149,INFP,INFJ,zero_shot,676.0
